タイプ,フルネーム,名前,コード,説明,色,備考,商品m,商品n,隠し勘定科目,税金,プレースホルダー
ASSET,資産,資産,,資産,,,JPY,CURRENCY,F,F,T
CASH,資産:現金,現金,,現金,,,JPY,CURRENCY,F,F,F
CASH,資産:小口現金,小口現金,,小口現金,,,JPY,CURRENCY,F,F,F
ASSET,資産:短期貸付金,短期貸付金,,短期貸付金,,,JPY,CURRENCY,F,F,F
BANK,資産:当座預金,当座預金,,当座預金,,,JPY,CURRENCY,F,F,F
ASSET,資産:未収還付法人税等,未収還付法人税等,,未収還付法人税等,,,JPY,CURRENCY,F,F,F
ASSET,資産:未収還付消費税(等),未収還付消費税(等),,未収還付消費税(等),,,JPY,CURRENCY,F,F,F
BANK,資産:当座預金○○銀行,当座預金○○銀行,,当座預金○○銀行,,,JPY,CURRENCY,F,F,F
BANK,資産:普通預金,普通預金,,普通預金,,,JPY,CURRENCY,F,F,F
ASSET,資産:仕掛品,仕掛品,,仕掛品,,,JPY,CURRENCY,F,F,F
BANK,資産:普通預金○○銀行,普通預金○○銀行,,普通預金○○銀行,,,JPY,CURRENCY,F,F,F
ASSET,資産:繰延税金資産,繰延税金資産,,繰延税金資産,,,JPY,CURRENCY,F,F,F
BANK,資産:定期預金,定期預金,,定期預金,,,JPY,CURRENCY,F,F,F
ASSET,資産:リース資産,リース資産,,リース資産,,,JPY,CURRENCY,F,F,F
BANK,資産:定期預金○○銀行,定期預金○○銀行,,定期預金○○銀行,,,JPY,CURRENCY,F,F,F
ASSET,資産:工具器具,工具器具,,工具器具,,,JPY,CURRENCY,F,F,F
ASSET,資産:建設仮勘定,建設仮勘定,,建設仮勘定,,,JPY,CURRENCY,F,F,F
ASSET,資産:受取手形,受取手形,,受取手形,,,JPY,CURRENCY,F,F,F
RECEIVABLE,資産:売掛金,売掛金,,売掛金,,,JPY,CURRENCY,F,F,F
ASSET,資産:のれん,のれん,,のれん,,,JPY,CURRENCY,F,F,F
RECEIVABLE,資産:クレジット売掛金,クレジット売掛金,,クレジット売掛金,,,JPY,CURRENCY,F,F,F
ASSET,資産:特許権,特許権,,特許権,,,JPY,CURRENCY,F,F,F
ASSET,資産:電子記録債権,電子記録債権,,電子記録債権,,,JPY,CURRENCY,F,F,F
ASSET,資産:ソフトウェア,ソフトウェア,,ソフトウェア,,,JPY,CURRENCY,F,F,F
ASSET,資産:貸倒引当金,貸倒引当金,,貸倒引当金,,,JPY,CURRENCY,F,F,F
ASSET,資産:ソフトウェア仮勘定,ソフトウェア仮勘定,,ソフトウェア仮勘定,,,JPY,CURRENCY,F,F,F
ASSET,資産:商品,商品,,商品,,,JPY,CURRENCY,F,F,F
STOCK,資産:売買目的有価証券,売買目的有価証券,,売買目的有価証券,,,JPY,CURRENCY,F,F,F
ASSET,資産:繰越商品,繰越商品,,繰越商品,,,JPY,CURRENCY,F,F,F
ASSET,資産:満期保有目的債券,満期保有目的債券,,満期保有目的債券,,,JPY,CURRENCY,F,F,F
ASSET,資産:貸付金,貸付金,,貸付金,,,JPY,CURRENCY,F,F,F
STOCK,資産:子会社株式,子会社株式,,子会社株式,,,JPY,CURRENCY,F,F,F
ASSET,資産:手形貸付金,手形貸付金,,手形貸付金,,,JPY,CURRENCY,F,F,F
STOCK,資産:関連会社株式,関連会社株式,,関連会社株式,,,JPY,CURRENCY,F,F,F
ASSET,資産:従業員貸付金,従業員貸付金,,従業員貸付金,,,JPY,CURRENCY,F,F,F
STOCK,資産:その他有価証券,その他有価証券,,その他有価証券,,,JPY,CURRENCY,F,F,F
ASSET,資産:役員貸付金,役員貸付金,,役員貸付金,,,JPY,CURRENCY,F,F,F
ASSET,資産:長期前払費用,長期前払費用,,長期前払費用,,,JPY,CURRENCY,F,F,F
ASSET,資産:立替金,立替金,,立替金,,,JPY,CURRENCY,F,F,F
ASSET,資産:長期貸付金,長期貸付金,,長期貸付金,,,JPY,CURRENCY,F,F,F
ASSET,資産:従業員立替金,従業員立替金,,従業員立替金,,,JPY,CURRENCY,F,F,F
ASSET,資産:不渡手形,不渡手形,,不渡手形,,,JPY,CURRENCY,F,F,F
ASSET,資産:前払金,前払金,,前払金,,,JPY,CURRENCY,F,F,F
ASSET,資産:前払年金費用,前払年金費用,,前払年金費用,,,JPY,CURRENCY,F,F,F
ASSET,資産:未収入金,未収入金,,未収入金,,,JPY,CURRENCY,F,F,F
ASSET,資産:退職給付に係る資産,退職給付に係る資産,,退職給付に係る資産,,,JPY,CURRENCY,F,F,F
ASSET,資産:仮払金,仮払金,,仮払金,,,JPY,CURRENCY,F,F,F
ASSET,資産:別段預金,別段預金,,別段預金,,,JPY,CURRENCY,F,F,F
ASSET,資産:受取商品券,受取商品券,,受取商品券,,,JPY,CURRENCY,F,F,F
ASSET,資産:機械装置,機械装置,,機械装置,,,JPY,CURRENCY,F,F,F
ASSET,資産:差入保証金,差入保証金,,差入保証金,,,JPY,CURRENCY,F,F,F
ASSET,資産:構築物,構築物,,構築物,,,JPY,CURRENCY,F,F,F
ASSET,資産:貯蔵品,貯蔵品,,貯蔵品,,,JPY,CURRENCY,F,F,F
ASSET,資産:借地権,借地権,,借地権,,,JPY,CURRENCY,F,F,F
ASSET,資産:仮払消費税,仮払消費税,,仮払消費税,,,JPY,CURRENCY,F,F,F
ASSET,資産:商標権,商標権,,商標権,,,JPY,CURRENCY,F,F,F
ASSET,資産:仮払法人税等,仮払法人税等,,仮払法人税等,,,JPY,CURRENCY,F,F,F
ASSET,資産:営業外受取手形,営業外受取手形,,営業外受取手形,,,JPY,CURRENCY,F,F,F
ASSET,資産:前払保険料など前払費用の各勘定,前払保険料など前払費用の各勘定,,前払保険料など前払費用の各勘定,,,JPY,CURRENCY,F,F,F
ASSET,資産:未収家賃など未収収益の各勘定,未収家賃など未収収益の各勘定,,未収家賃など未収収益の各勘定,,,JPY,CURRENCY,F,F,F
ASSET,資産:建物,建物,,建物,,,JPY,CURRENCY,F,F,F
ASSET,資産:建物減価償却累計額,建物減価償却累計額,,建物減価償却累計額,,,JPY,CURRENCY,F,F,F
ASSET,資産:備品,備品,,備品,,,JPY,CURRENCY,F,F,F
ASSET,資産:備品減価償却累計額,備品減価償却累計額,,備品減価償却累計額,,,JPY,CURRENCY,F,F,F
ASSET,資産:車両運搬具,車両運搬具,,車両運搬具,,,JPY,CURRENCY,F,F,F
ASSET,資産:車両運搬具減価償却累計額,車両運搬具減価償却累計額,,車両運搬具減価償却累計額,,,JPY,CURRENCY,F,F,F
ASSET,資産:土地,土地,,土地,,,JPY,CURRENCY,F,F,F
LIABILITY,負債,負債,,負債,,,JPY,CURRENCY,F,F,T
LIABILITY,負債:支払手形,支払手形,,支払手形,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:営業外支払手形,営業外支払手形,,営業外支払手形,,,JPY,CURRENCY,F,F,F
PAYABLE,負債:買掛金,買掛金,,買掛金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:短期借入金,短期借入金,,短期借入金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:電子記録債務,電子記録債務,,電子記録債務,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払固定資産税,未払固定資産税,,未払固定資産税,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:前受金,前受金,,前受金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払(役員)賞与,未払(役員)賞与,,未払(役員)賞与,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:借入金,借入金,,借入金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:(特別)修繕引当金,(特別)修繕引当金,,(特別)修繕引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:役員借入金,役員借入金,,役員借入金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:商品(製品)保証引当金,商品(製品)保証引当金,,商品(製品)保証引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:手形借入金,手形借入金,,手形借入金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:売上割戻引当金,売上割戻引当金,,売上割戻引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:当座借越,当座借越,,当座借越,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:(役員)賞与引当金,(役員)賞与引当金,,(役員)賞与引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払金,未払金,,未払金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:返品調整引当金,返品調整引当金,,返品調整引当金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:仮受金,仮受金,,仮受金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:繰延税金負債,繰延税金負債,,繰延税金負債,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:未払利息など未払費用の各勘定,未払利息など未払費用の各勘定,,未払利息など未払費用の各勘定,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:役員預り金,役員預り金,,役員預り金,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:前受地代など前受収益の各勘定,前受地代など前受収益の各勘定,,前受地代など前受収益の各勘定,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:リース債務,リース債務,,リース債務,,,JPY,CURRENCY,F,F,F
LIABILITY,負債:預り金,預り金,,預り金,,,JPY,CURRENCY,F,F,F
